jockey_id,jockey_name,jockey_kana,region,is_active
1183,小林脩斗,こばやししゅうと,美浦,True
1184,原優介,はらゆうすけ,美浦,True
1185,小沢大仁,おざわだいと,栗東,True
1186,角田大和,つのだやまと,栗東,True
1187,永島まなみ,ながしままなみ,栗東,True
1188,永野猛蔵,ながのたけぞう,美浦,False
1189,西谷凜,にしたにりん,栗東,False
1190,古川奈穂,ふるかわなほ,栗東,True
1191,松本大輝,まつもとひろき,栗東,True
1192,横山琉人,よこやまりゅうと,美浦,True
1193,今村聖奈,いまむらせいな,栗東,True
1194,大久保友雅,おおくぼゆうが,栗東,True
1195,川端海翼,かわばたかいと,栗東,True
1196,小牧加矢太,こまきかやた,栗東,True
1197,佐々木大輔,ささきだいすけ,美浦,True
1198,土田真翔,つちだまこと,美浦,True
1199,角田大河,つのだたいが,栗東,False
1200,西塚洸二,にしづかこうじ,栗東,True
1201,水沼元輝,みずぬまげんき,美浦,True
1202,鷲頭虎太,わしずこた,栗東,True
1203,石田拓郎,いしだたくろう,美浦,True
1204,河原田菜々,かわはらだなな,栗東,True
1205,小林勝太,こばやししょうた,美浦,False
1206,小林美駒,こばやしみく,美浦,True
1207,佐藤翔馬,さとうしょううま,美浦,True
1208,田口貫太,たぐちかんた,栗東,True
1209,石神深道,いしがみふかみち,美浦,True
1210,大江原比呂,おおえはらひろ,美浦,False
1211,坂口智康,さかぐちともやす,美浦,True
1212,柴田裕一郎,しばたゆういちろう,栗東,True
1213,高杉吏麒,たかすぎりき,栗東,True
1214,長浜鴻緒,ながはまこお,美浦,True
1215,橋木太希,はしきたいき,栗東,True
1216,吉村誠之助,よしむらせいのすけ,栗東,True
1217,上里直汰,うえざとなおた,美浦,True
1218,遠藤汰月,えんどうたつき,美浦,True
1219,谷原柚希,たにはらゆずき,美浦,True
1220,田山旺佑,たやまおうせい,栗東,True
1221,舟山瑠泉,ふなやまるい,美浦,True
1222,森田誠也,もりたせいや,栗東,True
1223,和田陽希,わだはるき,栗東,True
5053,丸野勝虎,まるのかつと,地方,True
5115,A.シュタルケ,しゅたるけ,海外,True
5171,岡部誠,おかべまこと,地方,True
5203,岩田康誠,いわたやすなり,栗東,True
5212,M.デムーロ,でむーろ,栗東,True
5217,田中学,たなかまなぶ,地方,True
5229,山口勲,やまぐちいさお,地方,True
5243,柴山雄一,しばやまゆういち,美浦,False
5248,加藤和博,かとうかずひろ,地方,True
5268,佐藤友則,さとうとものり,地方,False
5269,繁田健一,しげたけんいち,地方,True
5271,C.スミヨン,すみよん,海外,True
5286,服部茂史,はっとりたかふみ,地方,True
5299,吉原寛人,よしはらひろと,地方,True
5328,下原理,しもはらおさむ,地方,True
5329,倉富隆一郎,くらとみりゅういちろう,地方,True
5339,C.ルメール,るめーる,栗東,True
5342,森泰斗,もりたいと,地方,True
5366,R.ムーア,むーあ,海外,True
5370,大畑雅章,おおはたまさあき,地方,True
5380,矢野貴之,やのたかゆき,地方,True
5386,戸崎圭太,とさきけいた,美浦,True
5389,岩橋勇二,いわはしゆうじ,地方,True
5390,吉村智洋,よしむらともひろ,地方,True
5399,和田譲治,わだじょうじ,地方,True
5404,御神本訓史,みかもとのりふみ,地方,True
5408,筒井勇介,つついゆうすけ,地方,True
5411,桑村真明,くわむらまさあき,地方,True
5416,C.ウィリアムズ,うぃりあむず,海外,True
5420,真島大輔,ましまだいすけ,地方,True
5429,岡田祥嗣,おかだよしつぐ,栗東,True
5443,本田正重,ほんだまさしげ,地方,True
5444,川島正太郎,かわしましょうたろう,地方,True
5445,山本聡哉,やまもととしや,地方,True
5454,Z.パートン,ぱーとん,海外,True
5456,田中純,たなかじゅん,地方,True
5464,M.ギュイヨン,まきしむぎゅいよん,海外,True
5472,U.リスポリ,りすぽり,海外,True
5473,C.デムーロ,でむーろ,海外,True
5478,石川慎将,いしかわしんすけ,地方,True
5488,本橋孝太,もとはしこうた,地方,True
5491,田中直人,たなかなおと,地方,True
5492,阿部龍,あべりゅう,地方,True
5495,W.ビュイック,びゅいっく,海外,True
5498,G.ブノワ,ぶのわ,海外,True
5501,山下裕貴,やましたひろき,地方,True
5502,松井伸也,まついしんや,地方,True
5509,J.モレイラ,もれいら,海外,True
5517,F.ミナリク,みなりく,海外,True
5520,J.マクドナルド,まくどなるど,海外,True
5521,藤原幹生,ふじわらみきお,地方,True
5524,笹川翼,ささがわつばさ,地方,True
5525,藤井勘一郎,ふじいかんいちろう,栗東,False
5530,杉浦健太,すぎうらけんた,地方,True
5531,S.フォーリー,ふぉーりー,海外,True
5533,K.ティータン,てぃーたん,海外,True
5534,石川倭,いしかわやまと,地方,True
5545,山本咲希到,やまもとさきと,地方,True
5548,竹吉徹,たけよしとおる,地方,True
5552,鈴木祐,すずきゆう,地方,True
5557,加藤聡一,かとうそういち,地方,True
5558,渡辺竜也,わたなべたつや,地方,True
5562,岡村健司,おかむらけんじ,地方,True
