api_name,display_label
ws_next_calling_time,【WS】改め日時
ws_small_status,【WS】小ステータス
ws_prospect_rank,【WS】見込みランク
ws_person_in_charge,【WS】担当者
net_toss_up,ネットトスアップ
up_contact_desired_time,【UP】連絡希望日時
up_flag_detail_lines,【UP】詳細フラグ（回線）
field3,架電者
portal_life_id,ポータルライフID
is_deleted,削除フラグ
up_calling_remarks,【UP】架電備考
payment_methods_electric,支払方法_電気
field7,後確者
up_cash_back_reason,【UP】AUラック
up_last_calling_date,【UP】最終架電日
field12,トーク進捗
plan_electric,プラン_電気
field18,対応注意
gas_time_of_visit,立会時間（ガス）
up_first_connect_date,【UP】初回コネクト日
partner_ws,【WS】トーク進捗
WS11,後確担当者(WS)
partner_company,パートナー
lineProgress,LINE進捗
payment_methods_gas,支払方法_ガス
DENKIT,申込番号(DENKIT)
field2,ポータルライフステータス
payment_date,着金日
field22,メール（別アドレス）
field23,住所
cancel_date_lines,キャンセル日(回線)
field16,企業ステータス
waterworks_bureau,水道局
apply_method_enks,エンクス社申請方法
field24,オプション付帯(回線)
CB_LL,CB金額(LL)
field25,返金時期(回線)
mobile_carrier,携帯)キャリア
line_option,回線（連携用）
electric_option,電気（連携用）
gas_option,ガス（連携用）
field27,現住所
field28,支払方法_獲得
field29,【電】供給地点番号(22桁)
field30,【電】お客様番号
field32,【電】アンペア数
field33,【UP】CB金額
field34,備考
SW,【ガスSW】詳細フラグ
field35,【ガスSW】次回架電日時
SW1,【ガスSW】対応者
field36,【ガ】供給地点番号
field37,【ガ】お客様番号
field38,【ガ】契約名義
proposed_product,提案商材
sales_representative,営業担当
field26,申込番号（回線）
field40,ガス 獲得種別
field39,アドレス
field41,CB金額(WS)
WS1,【WS】リスト連携日
field42,申込種別
field43,外注先
field44,【ガス】供給地点番号
field46,【電気】供給地点番号
field47,【保険】初回コネクト日
field48,【保険】最終架電日
field49,【UP】NTTラック
field51,Wiz進捗
field52,【ガスSW】フラグ
field53,【保険】架電者
field54,【保険】改め日時
field55,【保険】エントリー日
field56,【保険】申込番号
field57,【保険】改め日
field58,EXセグメント/手配済代理店
field59,保険トスアップ
field60,物件契約日
LL1,返金時期(LL)
field61,入居リード
CB1,CB案内
field62,プラン_ガス
field63,見込みフラグ
field67,現契約
field68,ギフト案内
field69,物件進捗
field11,着地日（保険）
field72,商材（保険）
field73,小ステータス（保険）
field74,管理番号
field13,着地日(オプション)
field21,申込番号(オプション)
field31,商材(オプション)
field75,小ステータス(オプション)
field76,ステータス(オプション)
EN,対応依頼日にち指定（LL）
field65,対応依頼（LL）
field66,依頼日（LL）
EN1,EN対応依頼時間指定（LL）
response_result,対応結果（LL）
PW,FB/自社FR備考（回線）
FB,FB備考（LL）
EN2,予備
FB_PW,FB対応依頼時間指定（LL）
PW1,FB/自社FR対応依頼時間指定（回線）
line_remarks_preconf,対応結果（回線）
surveyresults,顧客満足度アンケート回答結果　1〜5/不満〜大満足
EN3,EN対応依頼時間指定（回線）
field19,対応依頼（回線）
field64,依頼日（回線）
field70,対応依頼日にち指定（回線）
field71,問合せ日
inflow_type,流入種別
WS,改め日（WS）
WS2,改め日時（WS）
field77,【ＷＳ】改め日時
