trainer_id,trainer_name,trainer_kana,region,is_active
1118,高柳瑞樹,たかやなぎみずき,美浦,True
1145,奥村武,おくむらたけし,美浦,True
1125,小野次郎,おのじろう,美浦,True
1079,古賀慎明,こがまさあき,美浦,True
1188,畑端省吾,はたばたしょうご,栗東,True
1074,奥平雅士,おくひらまさし,美浦,True
1163,林徹,はやしとおる,美浦,True
1193,緒方努,おがたつとむ,栗東,True
1042,安達昭夫,あだちあきお,栗東,True
1182,辻哲英,つじてつひで,美浦,True
1175,宮田敬介,みやたけいすけ,美浦,True
1162,田中博康,たなかひろやす,美浦,True
429,佐々木晶三,ささきしょうぞう,栗東,True
417,土田稔,つちだみのる,美浦,True
1104,笹田和秀,ささだかずひで,栗東,True
1195,嘉藤貴行,かとうたかゆき,美浦,True
1032,大根田裕之,おおねだひろゆき,栗東,True
1134,高橋文雅,たかはしふみまさ,美浦,True
1077,加藤和宏,かとうかずひろ,美浦,True
1167,稲垣幸雄,いながきゆきお,美浦,True
1031,伊藤伸一,いとうしんいち,美浦,True
1114,和田正一郎,わだしょういちろう,美浦,True
405,小西一男,こにしかずお,美浦,True
1192,上原佑紀,うえはらゆうき,美浦,True
1081,中川公成,なかがわただしげ,美浦,True
1116,新開幸一,しんかいこういち,美浦,True
1126,木村哲也,きむらてつや,美浦,True
1191,蛯名正義,えびなまさよし,美浦,True
1063,的場均,まとばひとし,美浦,True
1119,田中剛,たなかつよし,美浦,True
1044,昆貢,こんみつぐ,栗東,True
1043,石栗龍彦,いしくりたつひこ,美浦,True
1047,勢司和浩,せいしかずひろ,美浦,True
1017,萩原清,はぎわらきよし,美浦,True
1198,河嶋宏樹,かわしまひろき,栗東,True
1197,小椋研介,おぐらけんすけ,栗東,True
1206,高橋一哉,たかはしかずや,栗東,True
1200,藤野健太,ふじのけんた,栗東,True
1199,千葉直人,ちばなおと,美浦,True
1202,矢嶋大樹,やじまだいき,美浦,True
1203,福永祐一,ふくながゆういち,栗東,True
1201,森一誠,もりかずとも,美浦,True
1211,宮地貴稔,みやじたかとし,栗東,True
1210,前川恭子,まえかわきょうこ,栗東,True
1209,東田明士,ひがしだあきし,栗東,True
1205,佐藤悠太,さとうゆうた,栗東,True
1212,秋山真一郎,あきやましんいちろう,栗東,True
1215,加藤公太,かとうこうた,栗東,True
1214,井上智史,いのうえさとし,栗東,True
1207,田中勝春,たなかかつはる,美浦,True
1208,柄崎将寿,つかざきまさとし,美浦,True
1204,浅利英明,あさりひであき,美浦,True
