api_name,display_label
WS1,【WS】改め日時
WS2,【WS】見込みランク
WS9,【WS】小ステータス
WS10,【WS】担当者
is_tossup_lines,ネットトスアップ
up_contact_desired_time,【UP】連絡希望時間
is_deplicated,重複有無
portal_life_id,ポータルライフID
is_deleted,削除フラグ
field2,後確者
field4,供給地点住所
field53,対応注意
gas_time_of_visit,立会時間（ガス）
WS5,後確担当者(WS)
partner_company,パートナー
DENKIT,申込番号(DENKIT)
waterworks_bureau,水道局
field1,申込書番号
apply_method_enks,エンクス社申請方法
field6,平月申込/送客件数
field8,次回架電日
field10,アポイント担当者
field11,定休日
field15,オプション付帯(回線)
CB_LL,CB金額(LL)
field13,返金時期(回線)
field16,物件契約済確認
line_option,回線（連携用）
gas_option,ガス（連携用）
electric_option,電気（連携用）
field29,現住所
field34,支払方法_獲得
plan_electric,プラン_電気
current_power_company,現在の電力会社
field43,プラン_ガス
application_type_gas,申込区分
field47,字・丁（フォーム数値）
field49,字・丁（フォーム選択）
WS11,【WS】リスト連携日
gas_style,ガス種別
field33,EXセグメント/手配済代理店
field37,物件契約日
CB1,CB案内
field39,見込みフラグ
WS,【WS】トーク進捗
field51,依頼日（LL）
field56,現契約
field32,着地日（保険）
field59,ステータス（保険）
field60,商材（保険）
field35,小ステータス（保険）
field46,申込番号(保険)
incoming_call_number,受電番号
field24,キーワード
gclid_web,gclid_web
field48,管理番号
field62,担当者コンタクト日
electricity_category,電力カテゴリー
field3,着地日(オプション)
field5,申込番号(オプション)
field7,商材(オプション)
field12,小ステータス(オプション)
field17,ステータス(オプション)
field19,対応結果（LL）
EN,対応依頼日にち指定（LL）
field23,対応依頼（LL）
PW,FB/自社FR備考（回線）
FB,FB備考（LL）
EN1,予備
FB_PW,FB対応依頼時間指定（LL）
PW1,FB/自社FR対応依頼時間指定（回線）
field18,対応結果（回線）
field21,依頼日（回線）
field22,対応依頼日にち指定（回線）
EN2,EN対応依頼時間指定（回線）
field25,対応依頼（回線）
field26,問合せ日
nflow_type,流入種別
field27,初回架電日
FC,取次プラン(FC用)
field31,サポセレ獲得
UP_CB,【UP】CB金額
field36,着地日（引越）
field38,商材（引越）
field40,小ステータス（引越）
field41,ステータス（引越）
