pattern,total_races,wins,hit_rate,avg_odds_all,avg_odds_winning,recovery_rate
A: 複勝率のみ,3358,890,26.503871351995233,4.953245979749851,2.9433707865168537,78.01072066706372
B: 勝率のみ,3358,846,25.193567599761764,7.008248957712923,3.5517730496453903,89.48183442525313
C: 両方,3358,839,24.98511018463371,7.301131625967838,3.6121573301549463,90.25014889815365
