feature,importance
jockey_win_rate_surface_distance,75665.36553573608
finish_pos_best_last5,16046.781969070435
race_class_encoded,4273.418405532837
age,4244.1988162994385
last3f_index_zscore_last1_improved,3753.872901916504
running_style_last1_win_rate,2589.922088623047
time_index_zscore_last1_improved,2363.636799812317
jockey_place_rate_surface_distance,1813.4992923736572
time_index_zscore_worst_3_improved,1318.5571994781494
time_index_zscore_mean_3_improved,1152.147403717041
horse_weight,729.6651020050049
is_jockey_change,675.6643943786621
last3f_index_zscore_last2_improved,572.3942909240723
trainer_place_rate_surface_distance,554.4500045776367
rest_period_category,438.86340713500977
time_index_zscore_last2_improved,423.96420669555664
running_style_mode_win_rate,316.32039642333984
time_index_zscore_trend_3_improved,272.22599601745605
time_index_zscore_best_3_improved,228.9818992614746
trainer_win_rate_surface_distance,224.808500289917
running_style_last1,176.31289863586426
jockey_rides_surface_distance,159.02510261535645
days_since_last_race,141.93490028381348
time_index_zscore_last3_improved,124.8386001586914
distance,61.18269920349121
horse_number,46.636301040649414
sex,26.276500701904297
running_style_mode,22.82830047607422
bracket_number,20.51259994506836
racecourse_encoded,17.895999908447266
surface_encoded,0.0
weight_change,0.0
